Entity,Code,region,Year,extreme_poverty_pct,extreme_poverty_pct_rank,undernourishment_pct,undernourishment_pct_rank,population,population_rank,gdp_per_capita,gdp_per_capita_rank,co2_emissions,co2_emissions_rank,life_expectancy,life_expectancy_rank
Afghanistan,AFG,Asia,2022,,32,28.9,8,40578847,35,1357.9878,67,10169889,59,65.617,53
Algeria,DZA,Africa,2022,,33,2.5,52,45477391,31,13506.444,27,192778560,29,76.1289,22
Angola,AGO,Africa,2022,,34,23.1,10,35635028,39,6118.905,42,21089004,46,64.2455,57
Argentina,ARG,South America,2022,,35,3.3,49,45407904,32,18292.318,22,183768140,30,75.8061,23
Australia,AUS,Oceania,2022,,36,2.5,53,26200987,51,52049.43,4,384078430,15,82.7662,1
Bangladesh,BGD,Asia,2022,5.909079313,10,10.6,25,169384891,8,4925.721,47,102147410,37,74.2647,30
Benin,BEN,Africa,2022,,37,13.3,21,13759507,72,2477.0903,58,6092278,65,60.4751,66
Brazil,BRA,South America,2022,4.853658006,12,3.2,50,210306411,7,14640.076,25,480058300,11,74.8719,28
Burkina Faso,BFA,Africa,2022,,38,13.9,19,22509038,56,1704.966,62,6542194,63,60.7,65
Cambodia,KHM,Asia,2022,,39,5.8,39,17201721,69,3944.2468,50,20865134,47,70.528,43
Cameroon,CMR,Africa,2022,,40,5.1,43,27632770,50,2812.2148,55,9792435,60,62.4428,61
Canada,CAN,North America,2022,0.300000003,28,2.5,54,38821259,36,45529.645,7,547657660,10,81.2493,7
Chad,TCD,Africa,2022,39.47537541,5,30.5,7,18455319,63,1393.5635,65,2800401,70,54.5275,70
Chile,CHL,South America,2022,0.647290936,25,2.5,55,19553033,61,22740.72,19,85743784,39,79.1762,11
China,CHN,Asia,2022,0,31,2.5,56,1425179562,2,19238.18,20,11711807000,1,78.2021,12
Colombia,COL,South America,2022,9.266202152,8,4.1,46,51737944,28,14468.964,26,89436940,38,76.5081,21
Cote d'Ivoire,CIV,Africa,2022,,41,10.4,26,30395004,47,4011.7122,49,14504321,55,61.5622,63
Democratic Republic of Congo,COD,Africa,2022,,42,37.3,3,102396974,14,844.172,71,5892366,66,60.9789,64
Ecuador,ECU,South America,2022,4.444918036,14,12.8,22,17823900,66,10124.076,35,42065652,43,76.5767,20
Egypt,EGY,Africa,2022,,43,8.8,30,112618252,13,13205.406,28,249898670,25,71.0097,41
Ethiopia,ETH,Africa,2022,,44,20.2,15,125384285,11,2289.409,59,16959748,54,66.8971,49
France,FRA,Europe,2022,0.054856163,29,2.5,57,66277412,21,39065.71,9,295303800,20,82.4753,3
Germany,DEU,Europe,2022,0.700000022,23,2.5,58,84086227,18,46647.793,6,667843000,7,80.5796,9
Ghana,GHA,Africa,2022,,45,5.9,38,33149152,43,4242.4106,48,20745210,48,65.246,56
Guatemala,GTM,North America,2022,,46,12.1,24,17847877,65,7969.431,39,18913354,51,71.2064,40
Guinea,GIN,Africa,2022,,47,10.4,27,14055136,71,1809.2666,61,4052384,68,60.4316,67
India,IND,Asia,2022,5.251640081,11,13.5,20,1425423209,1,7765.593,40,2831131600,3,71.6984,39
Indonesia,IDN,Asia,2022,7.853634655,9,6.6,34,278830527,4,12801.671,30,758020500,6,70.9246,42
Iran,IRN,Asia,2022,2.805306576,16,6.7,33,89524247,16,18473.066,21,767178500,5,76.7993,19
Iraq,IRQ,Asia,2022,,48,15.3,18,44070556,33,13071.94,29,217643900,27,72.0371,38
Italy,ITA,Europe,2022,0.684913294,24,2.5,59,59619106,24,36224.293,11,340114720,16,82.052,5
Kazakhstan,KAZ,Asia,2022,,49,2.5,60,20034612,60,26491.857,16,274345570,22,73.5028,32
Kenya,KEN,Africa,2022,45.4826653,3,35.3,6,54252458,25,3403.9238,51,20544366,49,63.5491,58
Madagascar,MDG,Africa,2022,,50,39.9,2,30437261,46,1367.0938,66,4209640,67,63.0677,59
Malawi,MWI,Africa,2022,,51,20.7,14,20568731,58,1190.0509,68,1801388,71,66.037,52
Malaysia,MYS,Asia,2022,,52,2.5,61,34695494,41,26628.707,15,281883800,21,75.4442,24
Mali,MLI,Africa,2022,,53,9.9,29,23072641,54,1651.9413,64,7019715,62,60.0347,69
Mexico,MEX,North America,2022,2.330396138,18,2.8,51,128613116,10,16235.455,24,453799100,12,73.9731,31
Morocco,MAR,Africa,2022,,54,6.9,32,37329068,38,8400.127,36,69779460,41,75.1614,27
Mozambique,MOZ,Africa,2022,81.36137724,1,21.8,11,32656242,44,1087.836,69,9295686,61,63.0115,60
Myanmar,MMR,Asia,2022,,55,5.2,42,53756791,26,5177.4326,45,31638664,44,66.5058,51
