title,artist,genre,year,bpm,energy,danceability,duration_sec,acousticness,speechiness,popularity
"Hey, Soul Sister",Train,Acoustic/Folk,2010,97,89,67,217,19,4,83
Love The Way You Lie,Eminem,Hip-hop/R&B,2010,87,93,75,263,24,23,82
TiK ToK,Kesha,Dance pop,2010,120,84,76,200,10,14,80
Bad Romance,Lady Gaga,Dance pop,2010,119,92,70,295,0,4,79
Just the Way You Are,Bruno Mars,Pop,2010,109,84,64,221,2,4,78
Baby,Justin Bieber,Pop,2010,65,86,73,214,4,14,77
Dynamite,Taio Cruz,Dance pop,2010,120,78,75,203,0,9,77
Secrets,OneRepublic,Dance pop,2010,148,76,52,225,7,4,77
Empire State of Mind (Part II) Broken Down,Alicia Keys,Hip-hop/R&B,2010,93,37,48,216,74,3,76
Only Girl (In The World),Rihanna,Pop,2010,126,72,79,235,13,4,73
Club Can't Handle Me (feat. David Guetta),Flo Rida,Dance pop,2010,128,87,62,235,3,3,73
Marry You,Bruno Mars,Pop,2010,145,83,62,230,33,4,73
Cooler Than Me - Single Mix,Mike Posner,Dance pop,2010,130,82,77,213,18,5,73
Telephone,Lady Gaga,Dance pop,2010,122,83,83,221,1,4,73
Like A G6,Far East Movement,Dance pop,2010,125,84,44,217,1,45,72
OMG (feat. will.i.am),Usher,Hip-hop/R&B,2010,130,75,78,269,20,3,72
Eenie Meenie,Sean Kingston,Dance pop,2010,121,61,72,202,5,3,71
The Time (Dirty Bit),The Black Eyed Peas,Dance pop,2010,128,81,82,308,7,7,70
Alejandro,Lady Gaga,Dance pop,2010,99,80,63,274,0,5,69
Your Love Is My Drug,Kesha,Dance pop,2010,120,61,83,187,1,10,69
Meet Me Halfway,The Black Eyed Peas,Dance pop,2010,130,63,80,284,0,7,68
Whataya Want from Me,Adam Lambert,Pop,2010,186,68,44,227,1,5,66
Take It Off,Kesha,Dance pop,2010,125,68,73,215,0,3,66
Misery,Maroon 5,Pop,2010,103,81,70,216,0,4,65
All The Right Moves,OneRepublic,Dance pop,2010,146,95,53,238,26,5,65
Animal,Neon Trees,Other,2010,148,83,48,212,0,4,65
Naturally,Selena Gomez & The Scene,Dance pop,2010,133,90,61,203,2,5,64
I Like It,Enrique Iglesias,Dance pop,2010,129,94,65,231,2,9,63
Teenage Dream,Katy Perry,Dance pop,2010,120,80,72,228,2,4,63
California Gurls,Katy Perry,Dance pop,2010,125,75,79,235,0,5,62
3,Britney Spears,Dance pop,2010,135,71,70,213,5,5,62
My First Kiss - feat. Ke$ha,3OH!3,Dance pop,2010,138,89,68,192,1,8,62
Blah Blah Blah (feat. 3OH!3),Kesha,Dance pop,2010,120,84,75,172,8,12,62
Imma Be,The Black Eyed Peas,Dance pop,2010,92,52,60,258,18,37,62
Try Sleeping with a Broken Heart,Alicia Keys,Hip-hop/R&B,2010,111,82,50,249,16,11,62
Sexy Bitch (feat. Akon),David Guetta,Dance pop,2010,130,63,81,196,8,5,61
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Dance pop,2010,164,41,29,264,83,3,61
If I Had You,Adam Lambert,Pop,2010,131,91,65,228,1,11,59
Rock That Body,The Black Eyed Peas,Dance pop,2010,125,91,72,269,2,10,59
Dog Days Are Over,Florence + The Machine,Pop,2010,150,81,50,253,3,9,58
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Dance pop,2010,150,85,51,185,47,27,58
